clean,hashtags,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,freq_anger,bi_anger,freq_anticipation,bi_anticipation,freq_disgust,bi_disgust,freq_fear,bi_fear,freq_joy,bi_joy,freq_love,bi_love,freq_optimism,bi_optimism,freq_pessimism,bi_pessimism,freq_sadness,bi_sadness,freq_surprise,bi_surprise,freq_trust,bi_trust
worry payment problem may never joyce meyer motivation leadership worry,"['motivation', 'leadership', 'worry']",0,1,0,0,0,0,1,0,0,0,1,0.012136815005516735,0.0,0.016861510791366906,0.0011716461628588169,0.012101605559549485,0.0,0.019587194608256107,0.0,0.015206281939424157,0.0004016467516818958,0.007949652202716132,0.0,0.03193054738081224,0.0011657872131549884,0.013838748495788207,0.0,0.014719271623672231,0.0,0.0044932601098352475,0.0,0.02699949057564951,0.0031367628607277286
whatever decide make sure makes happy,['happy'],0,0,0,0,1,1,1,0,0,0,0,0.015937231825426015,4.848014737964803e-05,0.012365107913669064,0.00023432923257176333,0.015336688233884496,4.714090416254184e-05,0.014111204717775907,9.801999607920016e-05,0.040134612987660474,0.0009539110352445024,0.04272938058959921,0.0013527223537368955,0.041936433195997644,0.0011657872131549882,0.010830324909747292,0.0,0.020182094081942336,6.110228522546743e-05,0.00948577134298552,0.00033057851239669424,0.020376974019358125,0.0028230865746549563
maxkellerman also helps majority nfl coaching inept bill obrien play calling wow gopats,['GOPATS'],1,0,1,0,1,0,1,0,0,0,0,0.011891626823587104,0.0012120036844912008,0.007419064748201438,0.0,0.013419602204648934,0.0011785226040635461,0.005265374894692503,0.00019603999215840032,0.01333665711080643,0.0011547344110854503,0.004306061609804571,0.0,0.010300176574455562,0.0007362866609399926,0.006016847172081829,0.0,0.008952959028831562,6.110228522546743e-05,0.008986520219670495,0.0,0.006113092205807438,0.0
accept challenges literally even feel exhilaration victory george patton dogface,[],0,0,0,0,1,0,1,0,0,0,0,0.016305014098320463,4.848014737964803e-05,0.008992805755395683,0.000351493848857645,0.0190510424155284,4.714090416254184e-05,0.011794439764111205,0.0,0.022061572977689146,0.0023094688221709007,0.012586949320967208,0.0005072708826513358,0.02192466156562684,0.003129218308994968,0.015342960288808665,0.00014956625785222854,0.02078907435508346,0.0,0.015476784822765852,0.0023140495867768596,0.025471217524197655,0.008155583437892095
roommate okay spell autocorrect terrible firstworldprobs,"['terrible', 'firstworldprobs']",1,0,1,0,0,0,0,0,0,0,0,0.010910874095868578,0.00024240073689824016,0.002922661870503597,0.0,0.011622334052240595,0.0002357045208127092,0.008003369839932602,0.0,0.0027421164153059955,0.0001506175318807109,0.000662471016893011,0.0,0.0020600353148911123,0.0,0.005114320096269555,0.0,0.007890743550834597,0.0,0.0024962556165751375,0.0,0.0020376974019358125,0.0
cute atsu probably shy photos cherry helped uwu,[],0,0,0,0,1,0,0,0,0,0,0,0.0022066936373666794,0.0,0.0024730215827338128,0.0,0.0022765396597172302,0.0,0.004001684919966301,0.0,0.0049856662096472645,0.0003514409077216588,0.002649884067572044,0.0,0.0038257798705120657,0.0,0.005114320096269555,0.0,0.0050075872534142635,0.0,0.0004992511233150275,0.0,0.003056546102903719,0.0
think humans sense recognizing impending doom,[],0,1,0,0,0,0,0,1,0,0,0,0.008826774549466716,0.0,0.010116906474820143,0.0005858230814294083,0.008507069254732805,0.0,0.009688289806234204,0.0004900999803960008,0.0069799326935061695,0.0,0.0029811195760185492,0.0,0.0075044143613890515,0.0,0.010529482551143202,0.0007478312892611427,0.010166919575113807,0.00030551142612733715,0.0044932601098352475,0.0,0.006622516556291391,0.0
rooneys fucking untouchable fucking dreadful depay looked decent ish tonight,[],1,0,1,0,0,0,0,0,0,0,0,0.026112541375505706,0.0006302419159354244,0.006294964028776978,0.0,0.021806853582554523,0.0006128317541130439,0.013268744734625106,9.801999607920016e-05,0.008226349245917986,0.0,0.003974826101358066,0.0,0.00529723366686286,0.0,0.008724428399518654,0.0,0.012291350531107739,6.110228522546743e-05,0.0044932601098352475,0.0,0.0056036678553234845,0.0
pretty depressing hit pan favourite highlighter,[],0,0,1,0,0,0,0,0,1,0,0,0.005761922275346328,0.0,0.0026978417266187047,0.0,0.006470165348670021,0.0002357045208127092,0.0035804549283909013,0.0,0.004487099588682537,0.0,0.003312355084465055,0.0,0.0038257798705120657,0.0,0.009326113116726834,0.00014956625785222854,0.012443095599393017,0.0003666137113528046,0.00199700449326011,0.0,0.004075394803871625,0.0
bossupjaee pussy weak heard stfu bitch got threaten pregnant,[],1,0,1,0,0,0,0,0,0,0,0,0.01716317273507417,0.00038784117903718426,0.009217625899280577,0.0,0.016295231248502278,0.0003771272333003348,0.009056444818871103,0.0,0.009722049108812166,0.0,0.007949652202716132,0.0,0.008975868157739847,0.0,0.008724428399518652,0.0,0.011380880121396054,0.0,0.00599101347978033,0.0,0.004584819154355578,0.0
